,game_name,state_dim,action_dim,agent_hidden_model_size,episode_reward,episode_length,exploration_rate,gpu_before_train,gpu_after_train,cpu_usage
0,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.6628968715667725,1.0,92.913664,232.28416,6363.303936
1,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.7605853080749512,0.4327511000896531,232.28416,232.28416,6484.31616
2,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6809258460998535,0.22302588290097147,232.28416,232.28416,6559.88736
3,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.8075973987579346,0.14548555319422124,232.28416,232.28416,6662.815744
4,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6929576396942139,0.1168170754039595,232.28416,232.28416,6758.293504
5,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6205339431762695,0.10621766704550908,232.28416,232.28416,6841.901056
6,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.5967528820037842,0.10229881727709371,232.28416,232.28416,6942.642176
7,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6297690868377686,0.10084992664206448,232.28416,232.28416,7020.83072
8,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.5509340763092041,0.10031423780571384,232.28416,232.28416,7085.34272
9,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6163835525512695,0.1001161810839345,232.28416,232.28416,7183.917056
10,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.6246178150177002,0.10004295487054313,232.28416,232.28416,7271.395328
11,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.711341142654419,0.10001588142269716,232.28416,232.28416,7357.58336
12,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6621227264404297,0.10000587173430385,232.28416,232.28416,7455.891456
13,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6505045890808105,0.10000217091783227,232.28416,232.28416,7533.821952
14,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6548290252685547,0.10000080263921877,232.28416,232.28416,7634.71872
15,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.7242090702056885,0.1000002967545367,232.28416,232.28416,7719.616512
16,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.8035295009613037,0.1000001097171095,232.28416,232.28416,7827.996672
17,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.5956244468688965,0.10000004056498765,232.28416,232.28416,7913.152512
18,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.5771315097808838,0.10000001499782697,232.28416,232.28416,7992.631296
19,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.6865413188934326,0.10000000554504825,232.28416,232.28416,8097.91488
20,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.7894132137298584,0.10000000205013435,232.28416,232.28416,8203.456512
21,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.7126214504241943,0.10000000075798274,232.28416,232.28416,8290.668544
22,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.8037829399108887,0.10000000028024399,232.28416,232.28416,8392.597504
23,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-19.0,0.8332295417785645,0.10000000010361278,232.28416,232.28416,8497.364992
24,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6235241889953613,0.10000000003830807,232.28416,232.28416,8580.714496
25,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.8623535633087158,0.1000000000141634,232.28416,232.28416,8680.321024
26,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6973795890808105,0.10000000000523654,232.28416,232.28416,8770.895872
27,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-19.0,0.7612316608428955,0.10000000000193608,232.28416,232.28416,8868.954112
28,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.8118307590484619,0.10000000000071582,232.28416,232.28416,8971.907072
29,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.7109911441802979,0.10000000000026465,232.28416,232.28416,9072.287744
30,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.6943337917327881,0.10000000000009786,232.28416,232.28416,9151.50848
31,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-18.0,1.0207009315490723,0.10000000000003618,232.28416,232.28416,9296.531456
32,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.8631680011749268,0.10000000000001338,232.28416,232.28416,9393.299456
33,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.7908198833465576,0.10000000000000495,232.28416,232.28416,9490.8416
34,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-20.0,0.7937917709350586,0.10000000000000184,232.28416,232.28416,9587.867648
35,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6760241985321045,0.10000000000000069,232.28416,232.28416,9672.507392
36,ALE/Pong-v5,"(210, 160, 3)",6,44.303367614746094,-21.0,0.6790502071380615,0.10000000000000026,232.28416,232.28416,9758.179328
